1,Farmers Insurance Open
1,Waste Management Phoenix Open
1,AT&T Pebble Beach Pro-Am
1,Genesis Open
1.5,WGC - Mexico Championship
1,The Honda Classic
1,Arnold Palmer Invitational presented by Mastercard
1.5,THE PLAYERS Championship
1,Valspar Championship
1,WGC - Dell Technologies Match Play
2,Masters Tournament
0.5,Houston Open
1,RBC Heritage
0,HOLD FOR ZURICH
1,Wells Fargo Championship
1,AT&T Byron Nelson
2,100th PGA Championship
1,Fort Worth Invitational
1,the Memorial Tournament presented by Nationwide
1,RBC Canadian Open
2,U.S. Open
1,Travelers Championship
1,Aberdeen Standard Investments Scottish Open
1,Dubai Duty Free Irish Open Hosted by the Rory Foundation
1,John Deere Classic
0.5,A Military Tribute at The Greenbrier
2,147th Open Championship
1,FedEx St. Jude Classic
1,WGC - Bridgestone Invitational
1,Wyndham Championship
1,The Northern Trust
0.5,Dell Technologies Championship
1.5,BMW Championship
1.5,TOUR Championship
0.5,BMW PGA CHAMPIONSHIP